Axis,Name,Position
axis/phytron/1-1,Microscope_Y,55
axis/phytron/1-2,Microscope_Z,-20
axis/phytron/1-3,Microscope_X,1.43
axis/phytron/1-4,Target1_Y,25.55
axis/phytron/1-5,Target1_Z,-1.5
axis/phytron/1-6,Target1_X,32.75
axis/phytron/1-7,Target1_R,0.9
axis/phytron/3-6,Target2_Y,-53.2
axis/phytron/3-5,Target2_Z,1.8
axis/phytron/3-3,Target2_X,-36
axis/phytron/2-6,PM_Y,-36
axis/phytron/2-7,PM_Z,-15
axis/phytron/2-8,PM_X,339.4
axis/phytron/1-8,PM_R,642.5
axis/phytron/2-2,Probe_Delay,-19.4
axis/phytron/4-8,Probe_Filter,20
axis/phytron/4-5,Lens1_Z,0
axis/phytron/2-1,Probe_Iris,-4
axis/phytron/4-6,Blade_Z,0
axis/phytron/4-7,Blade_X,0
axis/phytron/3-2,Mask_X,-0.3
axis/phytron/3-4,Mask_Z,48.5
axis/phytron/2-3,Lens2_Y,-60.6
axis/phytron/2-5,Lens2_X,-0.5
axis/phytron/3-1,Lens2_Z,-0.95
axis/phytron/4-1,Positron_Z,0
axis/phytron/4-2,Positron_X,0
axis/phytron/4-3,Positron_Y,0
axis/phytron/4-4,Lead_Shield,0
axis/phytron/2-4,Attenuator,0
axis/phytron/3-7,Lanex1,-99
axis/phytron/3-8,PCO_Filter,-95
