Time,Axis,Old Position,New Position
13:07:08,axis/phytron/2-2,-39.4,-19.4
13:08:28,axis/phytron/3-4,-7.4,48.5
13:08:46,axis/phytron/2-3,-60.55,-60.599999999999994
13:09:22,axis/phytron/2-4,-60.0,0.0
13:09:57,axis/phytron/3-7,49.0,-99.0
13:11:30,axis/phytron/4-7,0.0,7.3
13:13:43,axis/phytron/4-6,0.0,40.0
13:20:52,axis/phytron/1-5,-1.5,18.5
15:51:23,axis/phytron/3-7,-99.0,49.0
15:57:58,axis/phytron/2-3,-60.6,-60.800000000000004
16:05:52,axis/phytron/2-3,-60.8,-61.0
16:11:42,axis/phytron/2-3,-61.0,-60.8
16:11:48,axis/phytron/2-3,-60.8,-60.599999999999994
16:30:27,axis/phytron/2-2,-19.4,-19.299999999999997
16:31:59,axis/phytron/2-2,-19.3,-19.2
16:55:18,axis/phytron/2-1,-4.00092,-0.5
16:57:43,axis/phytron/1-4,25.55,25.05
17:01:13,axis/phytron/1-4,25.05,24.55
17:01:23,axis/phytron/1-4,24.55,25.05
17:02:53,axis/phytron/4-8,20.0,-27.0
17:03:22,axis/phytron/3-4,48.5,42.5
17:03:43,axis/phytron/3-8,-95.0,-15.0
17:06:03,axis/phytron/3-8,-15.0,15.0
17:06:42,axis/phytron/1-4,25.05,24.55
17:07:48,axis/phytron/1-4,24.55,25.3
17:12:08,axis/phytron/1-4,25.3,25.8
17:12:53,axis/phytron/2-2,-19.2,-19.099999999999998
17:13:23,axis/phytron/2-1,-0.49896,-4.0
17:14:23,axis/phytron/1-4,25.8,25.55
17:15:23,axis/phytron/4-6,40.00007875,0.0
17:15:57,axis/phytron/2-1,-4.00092,-10.0
17:15:58,axis/phytron/2-2,-19.1,-19.0
17:16:58,axis/phytron/4-7,7.29999,0.0
17:17:13,axis/phytron/2-2,-19.0,1.0
17:21:23,axis/phytron/2-2,1.0,0.7
17:24:16,axis/phytron/2-1,-9.99999,-4.0
17:24:28,axis/phytron/4-8,-27.0,20.0
17:24:38,axis/phytron/3-4,42.5,48.5
17:24:57,axis/phytron/3-8,15.0,-95.0
17:31:43,axis/phytron/1-5,18.5,13.5
17:34:38,axis/phytron/1-5,13.5,8.5
17:37:03,axis/phytron/1-5,8.5,13.5
17:37:13,axis/phytron/1-5,13.5,18.5
17:37:23,axis/phytron/1-5,18.5,23.5
17:40:58,axis/phytron/2-2,0.7,0.8999999999999999
17:56:18,axis/phytron/2-3,-60.6,-60.7
18:02:57,axis/phytron/2-3,-60.7,-60.800000000000004
18:09:43,axis/phytron/1-5,23.5,28.5
18:12:58,axis/phytron/2-2,0.9,0.8
18:14:24,axis/phytron/1-5,28.5,23.5
18:14:43,axis/phytron/1-4,25.55,25.3
18:15:12,axis/phytron/1-4,25.3,25.55
18:15:42,axis/phytron/1-4,25.55,25.8
18:16:13,axis/phytron/2-2,0.8,0.8500000000000001
18:19:04,axis/phytron/1-4,25.8,25.55
18:19:12,axis/phytron/1-4,25.55,25.3
18:21:48,axis/phytron/1-4,25.3,25.55
18:22:27,axis/phytron/2-3,-60.8,-60.9
18:26:48,axis/phytron/2-3,-60.9,-61.0
19:05:48,axis/phytron/3-4,48.5,-7.4
19:06:03,axis/phytron/1-6,32.75,9.75
19:08:48,axis/phytron/1-6,9.75,32.75
19:09:23,axis/phytron/3-4,2.23025,48.5
21:13:28,axis/phytron/3-4,48.5,42.5
21:15:28,axis/phytron/2-2,0.85,-35.0
21:15:28,axis/phytron/2-2,0.85,-35.0
21:53:09,axis/phytron/3-4,42.5,-7.4
23:40:09,axis/phytron/1-6,32.75,9.75
23:40:19,axis/phytron/1-5,23.5,-1.5
23:40:34,axis/phytron/3-7,49.0,-99.0
23:42:49,axis/phytron/3-7,48.9925,-99.0
23:43:09,axis/phytron/3-7,48.99125,49.0
23:44:04,axis/phytron/2-8,339.4,239.39999999999998
23:44:49,axis/phytron/2-8,239.4,238.2
23:47:58,axis/phytron/3-7,48.991875,-99.0
