shot,trigger_time,Laser energy,GDD,Jet 1 pressure,Jet 2 pressure,comment,TOD,spherical mirror
1,11:50:10,69.59,29100,0,0,"on screen",-110000,59.05
2,11:53:10,137.79,29100,0,0,"on screen",-110000,59.05
3,11:59:11,227.17,29100,0,0,"on screen",-110000,59.05
4,12:01:10,230.79,29100,0,0,"on screen",-110000,59.05
5,12:05:11,250.47,29100,0,0,"on screen",-110000,59.05
6,12:17:10,248.83,29100,0,0,"on screen",-110000,59.05
7,12:26:10,276.21,29100,0,0,"on screen",-110000,59.05
8,12:27:10,276.21,29100,0,0,"on screen",-110000,59.05
9,12:28:10,272.49,29100,0,0,"on screen",-110000,59.05
10,12:29:10,275.21,29100,0,0,"on screen",-110000,59.05
11,12:31:10,273.31,29100,0,0,"on screen",-110000,59.05
12,12:32:11,,,,,,,
